1777371_at,884.479,858.83,822.203,3884.09,3868.54,3838.81
1779407_at,4148.59,3572.55,3899.92,711.896,878.71,436.832
1779112_at,4165.71,3803.62,4112.52,683.283,568.232,558.327
1775734_at,568.571,692.453,619.452,3999.71,2709.56,4261.69
1773900_at,4151.76,4472.31,4305.52,640.589,568.546,541.227
1773710_at,3697.51,3711.87,3911.09,626.645,487.676,472.475
1772726_at,382.304,353.597,396.901,4220.39,3707.1,4130.05
1774074_s_at,72.8894,65.6131,69.8335,3045.73,2925.73,3358.38
1779517_at,142.503,119.329,145.706,5863.36,3466.95,5273.53
1773278_at,888.9,781.723,802.077,5820.71,4250.44,5888.15
1778591_at,4391.26,5114.92,4954.71,786.989,614.75,687.541
1778666_at,1073.88,901.977,1177.55,8446.21,7700.02,8489.05
1776679_at,913.272,829.714,972.606,8563.76,7314.31,8196.14
1772622_at,934.569,784.529,863.802,6039.83,5587.83,6217.42
1771091_at,6110.38,5199.22,5540.21,957.777,629.686,576.825
1771341_at,623.091,466.166,546.52,12451.2,12130.5,12142.3
1779129_at,406.718,324.393,450.072,6020.54,5792.47,7616.69
1778375_at,330.825,284.812,308.98,7508.23,7502.6,8189.97
1777881_at,1501.96,1620.01,1449.82,4874.73,4714.09,4737.9
1769853_at,1756.86,1637.09,1487.43,5381.24,4869.24,5446.04
1780053_at,4770.38,4548.55,4661.82,1362.6,1644.52,1569.68
1780031_at,1419.53,1449.44,1374.87,5022.84,4919.77,5115.19
1779659_at,1593.07,1087.65,1253.46,4684.5,4347.61,4955.39
1778651_at,4217.98,4418.71,3955.7,1248.1,974.828,1228.6
1780091_at,3951.07,3984.16,3991.82,1033.01,836.698,999.271
1773702_at,1035.76,811.968,726.097,4441.6,3789.66,4053
1779134_at,4534.29,4846.74,4788.22,2188.82,1932.39,1955.05
1778720_at,1695.65,1566.24,1722.58,4743.31,4463.65,4433.13
1770767_at,1168.94,1232.72,1202.99,4013.57,3597.33,3985.03
1778446_at,908.202,884.879,911.622,4161.9,3242.75,3888.44
1778183_at,1659.19,1456.12,1451.25,5493.81,4425.09,5414.48
1772350_at,4927.2,5193.84,4866.75,1860.74,1516.47,1772.34
1772997_at,1334.08,1366.16,1452,5178.84,5426.59,5247
1770480_at,4822.17,5059.1,4481.02,1273.81,1449.83,2143.73
1774829_at,5263.86,4254.48,4839.62,1312.11,893.61,825.252
1777315_at,2361.22,2303.4,2048.97,5504.95,5495.99,5375.25
1778568_at,2099.89,1903.1,1837.5,5551.68,5351.43,5547.92
